organization,subject_code,subject_code_key,description,description_variants,units,offered_semesters,source_academic_years,prerequisite_codes,prerequisite_logic,prerequisite_confidence,possible_prerequisite_codes,possible_prerequisite_logic,professor_surnames,sections,prerequisite_notes
CBAE,TRACK 1,TRACK1,Agribusiness,Agribusiness,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,TRACK2,TRACK2,Tourism Business,Tourism Business,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TANANGONAN,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,TRACK 3,TRACK3,Service Business,Service Business,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA CRUZ,EN 401,No clear prerequisite identified from the uploaded schedules.
CBAE,TRACKS 4,TRACKS4,Export Business,Export Business,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GAGARIN,EN 401,No clear prerequisite identified from the uploaded schedules.
CBAE,TRADEV,TRADEV,Training and Development,Training and Development,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABAD|OSIO,HR 201|HR 202,No clear prerequisite identified from the uploaded schedules.
CBAE,UNDSELF,UNDSELF,Understanding the Self/Pagunawa sa Sarili,Understanding the Self/Pagunawa sa Sarili,,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,UNSELF,UNSELF,Understanding the Self,Understanding the Self,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DUCO|GABUYA|JUMADIAO|LEI|SALAZAR,EN 101|FM 101|FM 102|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CCS,ADET,ADET,Application Development and Emerging Technologies LEC,Application Development and Emerging Technologies LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1,ALL,ANGAC,IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,ADETL,ADETL,Application Development and Emerging Technologies LAB,Application Development and Emerging Technologies LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1L,ALL,ANGAC,IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,ADVMOB,ADVMOB,Advance Mobile Computing LEC,Advance Mobile Computing LEC,2,2nd Semester,AY 2025-2026,BMC,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,Clear course sequence inferred from subject codes/descriptions.
CCS,ADVMOBL,ADVMOBL,Advance Mobile Computing LAB,Advance Mobile Computing LAB,1,2nd Semester,AY 2025-2026,BMCL,ALL,INFERRED_SEQUENCE,NONE,NONE,CACHO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,Clear course sequence inferred from subject codes/descriptions.
CCS,ARCHORG,ARCHORG,Computer Architecture and Organization LEC,Computer Architecture and Organization LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,ARCHORGL,ARCHORGL,Computer Architecture and Organization LAB,Computer Architecture and Organization LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CRUZ|ESGUERRA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,ARTAPP,ARTAPP,Art Appreciation,Art Appreciation,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ACOSTA|CORRALES|DE ASIS|DELARMENTE|GERONIMO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,AVE,AVE,Animation and Video Editing LEC,Animation and Video Editing LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|QUINTO|UMALI,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules.
CCS,AVEL,AVEL,Animation and Video Editing LAB,Animation and Video Editing LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|QUINTO|UMALI,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules.
CCS,BMC,BMC,Basic Mobile Computing LEC,Basic Mobile Computing LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,OOP,ALL,CACHO|VALENCIA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,BMCL,BMCL,Basic Mobile Computing LAB,Basic Mobile Computing LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,OOPL,ALL,CACHO|VALENCIA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,BUSANA,BUSANA,Business Analytics,Business Analytics,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VALENCIA,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,No clear prerequisite identified from the uploaded schedules.
CCS,CAO,CAO,Computer Architecture and Organization LEC,Computer Architecture and Organization LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CRUZ|ESGUERRA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,CAOL,CAOL,Computer Architecture and Organization LAB,Computer Architecture and Organization LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CRUZ|ESGUERRA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,CAPS2,CAPS2,Capstone Project and Research 2 LEC,Capstone Project and Research 2 LEC,2,1st Semester,AY 2026-2027,CAPSTONE1,ALL,INFERRED_SEQUENCE,NONE,NONE,MAUPAY|RODRIGO,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,Clear course sequence inferred from subject codes/descriptions.
CCS,CAPS2L,CAPS2L,Capstone Project and Research 2 LAB,Capstone Project and Research 2 LAB,1,1st Semester,AY 2026-2027,CAPSTONE1L,ALL,INFERRED_SEQUENCE,NONE,NONE,MAUPAY|RODRIGO,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,Clear course sequence inferred from subject codes/descriptions.
CCS,CAPSTONE1,CAPSTONE1,Capstone Project and Research 1 LEC,Capstone Project and Research 1 LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,CAPSTONE1L,CAPSTONE1L,Capstone Project and Research 1 LAB,Capstone Project and Research 1 LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAUPAY|RODRIGO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,CONWRLD,CONWRLD,The Contemporary World,The Contemporary World,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC|DANUCO|DELA CRUZ|DELARMENTE|GALLEN,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,CPROG2,CPROG2,Computer Programming 2 LEC,Computer Programming 2 LEC,2,1st Semester,AY 2026-2027,PROG1,ALL,INFERRED_SEQUENCE,NONE,NONE,TANAEL,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,Clear course sequence inferred from subject codes/descriptions.
CCS,CPROG2L,CPROG2L,Computer Programming 2 LAB,Computer Programming 2 LAB,1,1st Semester,AY 2026-2027,PROG1L,ALL,INFERRED_SEQUENCE,NONE,NONE,TANAEL,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,Clear course sequence inferred from subject codes/descriptions.
CCS,DBMSYS,DBMSYS,Database Management System LEC,Database Management System LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MACINAS|NARCISO,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,DBMSYSL,DBMSYSL,Database Management System LAB,Database Management System LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MACINAS|NARCISO,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,DMATH,DMATH,Discrete Mathematics,Discrete Mathematics,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ASIA|SANTIAGO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,DSTRUC,DSTRUC,Data Structures and Algorithms LEC,Data Structures and Algorithms LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1,ALL,FLORES,IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,DSTRUCL,DSTRUCL,Data Structures and Algorithms LAB,Data Structures and Algorithms LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1L,ALL,FLORES,IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,DSTRUCT,DSTRUCT,Data Structures and Algorithms LEC,Data Structures and Algorithms LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,CPROG2,ALL,UNASSIGNED,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,DSTRUCTL,DSTRUCTL,Data Structures and Algorithms LAB,Data Structures and Algorithms LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,CPROG2L,ALL,ANGAC|PUNZALAN,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,ENVISCI,ENVISCI,Environmental Science,Environmental Science,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DE ASIS|SALAZAR,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules.
CCS,ETHICS,ETHICS,Ethics,Ethics,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALARIAO|DELARMENTE|PABELARIO|SALAZAR,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,HCI,HCI,Intro to Human Computer Interaction LEC,Intro to Human Computer Interaction LEC,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,HCIL,HCIL,Intro to Human Computer Interaction LAB,Intro to Human Computer Interaction LAB,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ANGAC|MACINAS,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,IAS2,IAS2,Information Assurance and Security 2 LEC,Information Assurance and Security 2 LEC,2,1st Semester,AY 2026-2027,INFOSEC1,ALL,INFERRED_SEQUENCE,NONE,NONE,BORJA|SANTOS,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,Clear course sequence inferred from subject codes/descriptions.
CCS,IAS2L,IAS2L,Information Assurance and Security 2 LAB,Information Assurance and Security 2 LAB,1,1st Semester,AY 2026-2027,INFOSEC1L,ALL,INFERRED_SEQUENCE,NONE,NONE,BORJA|SANTOS,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,Clear course sequence inferred from subject codes/descriptions.
CCS,INFOMGT,INFOMGT,Information Management LEC,Information Management LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,INFOMGTL,INFOMGTL,Information Management LAB,Information Management LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,NARCISO|SANTOS,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,INFOSEC1,INFOSEC1,Information Assurance and Security 1 LEC,Information Assurance and Security 1 LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,INFOSEC1L,INFOSEC1L,Information Assurance and Security 1 LAB,Information Assurance and Security 1 LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BORJA|CACHO|VALENCIA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,IPT1,IPT1,Integrative Programming Technologies 1 LEC,Integrative Programming Technologies 1 LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1,ALL,SUNGA|UMALI,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,IPT1L,IPT1L,Integrative Programming Technologies 1 LAB,Integrative Programming Technologies 1 LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1L,ALL,SUNGA|UMALI,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,ITC,ITC,Introduction to Computing LEC,Introduction to Computing LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MACINAS|SUNGA,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,ITCL,ITCL,Introduction to Computing LAB,Introduction to Computing LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MACINAS|SUNGA,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,ITP1,ITP1,Computer Hardware and Troubleshooting LEC,Computer Hardware and Troubleshooting LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LEI|MACINAS,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,ITP1L,ITP1L,Computer Hardware and Troubleshooting LAB,Computer Hardware and Troubleshooting LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LEI|MACINAS,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,ITP2,ITP2,Fundamentals of Programming LEC,Fundamentals of Programming LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PUNZALAN|TANAEL,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,ITP2L,ITP2L,Fundamentals of Programming LAB,Fundamentals of Programming LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PUNZALAN|TANAEL,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,ITPLUS3,ITPLUS3,Office Productivity Tools LAB,Office Productivity Tools LAB,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LEI,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,ITPLUS4,ITPLUS4,Computer Graphics LAB,Computer Graphics LAB,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|UMALI,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,KOMFIL,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,Kontekstwalisadong Komunikasyon sa Filipino,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DANUCO|FERNANDEZ,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,LEAD 1,LEAD1,Leadership 1,Leadership 1,1.5,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LORETO|PRADO|SALONGA,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,LEAD2,LEAD2,Personal Development,Personal Development,1.5,2nd Semester,AY 2025-2026,LEAD1,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|LORETO|MARIEL|SALONGA,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,Clear course sequence inferred from subject codes/descriptions.
CCS,LEAD 3,LEAD3,Leadership 3,Leadership 3,1.5,1st Semester,AY 2026-2027,LEAD2,ALL,INFERRED_SEQUENCE,NONE,NONE,PRADO|SALONGA|TICAG,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,Clear course sequence inferred from subject codes/descriptions.
CCS,LEAD4,LEAD4,The Hands of a Leader,Leadership 4 | The Hands of a Leader,1.5,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,LEAD3,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|MARIEL|PRADO|SALONGA,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,Clear course sequence inferred from subject codes/descriptions.
CCS,LEAD 5,LEAD5,Leadership 5,Leadership 5,1.5,1st Semester,AY 2026-2027,LEAD4,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|PRADO|SALONGA|TICAG,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,Clear course sequence inferred from subject codes/descriptions.
CCS,LEAD6,LEAD6,Values Formation 6,Values Formation 6,1.5,2nd Semester,AY 2025-2026,LEAD5,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|MARIEL|SALONGA,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,Clear course sequence inferred from subject codes/descriptions.
CCS,LEAD 7,LEAD7,Leadership 7,Leadership 7,1.5,1st Semester,AY 2026-2027,LEAD6,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|PRADO|SALONGA|TICAG,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,Clear course sequence inferred from subject codes/descriptions.
CCS,LEAD8,LEAD8,Values Formation 8,Values Formation 8,1.5,2nd Semester,AY 2025-2026,LEAD7,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN,IT 401|IT 402|IT 403,Clear course sequence inferred from subject codes/descriptions.
CCS,MATHWRLD,MATHWRLD,Mathematics in the Modern World,Mathematics in the Modern World,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MIRASOL|OLVIS|SANTIAGO,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,NET2,NET2,Networking 2 LEC,Networking 2 LEC,2,2nd Semester,AY 2025-2026,NW1,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,Clear course sequence inferred from subject codes/descriptions.
CCS,NET2L,NET2L,Networking 2 LAB,Networking 2 LAB,1,2nd Semester,AY 2025-2026,NW1L,ALL,INFERRED_SEQUENCE,NONE,NONE,BAUTISTA|FLORES|RODRIGO,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,Clear course sequence inferred from subject codes/descriptions.
CCS,NSTP 1,NSTP1,National Service Training Program 1,National Service Training Program 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CUBACUB|EVANGELISTA|SALAZAR|SILVERIO,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,NSTP2,NSTP2,National Service Training Program 2,National Service Training Program 2,3,2nd Semester,AY 2025-2026,NSTP1,ALL,INFERRED_SEQUENCE,NONE,NONE,CUBACUB|MARTER,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,Clear course sequence inferred from subject codes/descriptions.
CCS,NW1,NW1,Networking 1 LEC,Networking 1 LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|FLORES|RODRIGO,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules.
CCS,NW1L,NW1L,Networking 1 LAB,Networking 1 LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|FLORES|RODRIGO,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules.
CCS,OJT,OJT,On the Job Training (600 hrs),On the Job Training (600 hrs),6,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VALENCIA,IT 401|IT 402|IT 403,No clear prerequisite identified from the uploaded schedules.
CCS,OOP,OOP,Object Oriented Programming LEC,Object Oriented Programming LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,CPROG2,ALL,UNASSIGNED,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,OOPL,OOPL,Object Oriented Programming LAB,Object Oriented Programming LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,CPROG2L,ALL,RODRIGO|VALENCIA,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,OOPR,OOPR,Object Oriented Programming LEC,Object Oriented Programming LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1,ALL,GABRIEL,IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,OOPRL,OOPRL,Object Oriented Programming LAB,Object Oriented Programming LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1L,ALL,GABRIEL,IT 208,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,PATHFIT1,PATHFIT1,Physical Activity Towards Health and Fitness,Physical Activity Towards Health and Fitness,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SALAZAR,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,PATHFIT2,PATHFIT2,Exercised-Based Course,Exercised-Based Course,2,2nd Semester,AY 2025-2026,PATHFIT1,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|SALAZAR,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,Clear course sequence inferred from subject codes/descriptions.
CCS,PATHFIT3,PATHFIT3,Dance and Fitness Wellness,Dance and Fitness Wellness,2,1st Semester,AY 2026-2027,PATHFIT2,ALL,INFERRED_SEQUENCE,NONE,NONE,SALAZAR,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,Clear course sequence inferred from subject codes/descriptions.
CCS,PATHFIT4,PATHFIT4,Sports,Sports,2,2nd Semester,AY 2025-2026,PATHFIT3,ALL,INFERRED_SEQUENCE,NONE,NONE,SALAZAR,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,Clear course sequence inferred from subject codes/descriptions.
CCS,PE 4,PE4,Team Sports,Team Sports,2,1st Semester,AY 2026-2027,PATHFIT3,ALL,INFERRED_SEQUENCE,NONE,NONE,SALAZAR,IT 208,PE 4 appears as the fourth PE/PATHFIT subject after PATHFIT 3.
CCS,PHILHIST,PHILHIST,Readings in Philippine History,Readings in Philippine History,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALONZO|LEI|PABELARIO|SALAZAR,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,PRELEC2,PRELEC2,Professional Elective 2 LEC,Professional Elective 2 LEC,2,1st Semester,AY 2026-2027,PROFELEC1,ALL,INFERRED_SEQUENCE,NONE,NONE,CACHO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,Clear course sequence inferred from subject codes/descriptions.
CCS,PRELEC2L,PRELEC2L,Professional Elective 2 LAB,Professional Elective 2 LAB,1,1st Semester,AY 2026-2027,PROFELEC1L,ALL,INFERRED_SEQUENCE,NONE,NONE,CACHO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,Clear course sequence inferred from subject codes/descriptions.
CCS,PROFELEC1,PROFELEC1,Professional Elective 1 LEC,Professional Elective 1 LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
