,DBMSYS,Database Management System LEC,2,Tue,07:30 AM-09:30 AM,40238,ONLINE,MS. NARCISO,https://classroom.google.com/c/ODU1NDE5NTQ1NjMx?cjc=2b3d6ijr,ONLINE,,,
,DBMSYSL,Database Management System LAB,1,Sat,10:30 AM-01:30 PM,40240,LAB2,MS. NARCISO,,HYFLEX B,,,
,ENVISCI,Environmental Science,3,Wed,02:00 PM-05:00 PM,40266,5A,MS. DE ASIS,https://classroom.google.com/c/ODY4ODgwMzM0MzAx?cjc=qf7zq4dx,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,05:00 PM-07:00 PM,40280,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1MzkzNDE5ODY5?cjc=gequbgvh,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Wed,10:30 AM-01:30 PM,40282,LAB2,MS. SUNGA,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Thu,10:30 AM-12:00 PM,40308,5E,Coach. Jude Salonga,sg6hmmor ,HYFLEX A,,,
,NW1,Networking 1 LEC,2,Tue,09:30 AM-11:30 AM,40322,ONLINE,MS. JV FLORES,https://classroom.google.com/c/ODU1Mzg4MjE3Nzk4?cjc=zh2sbtlv,ONLINE,,,
,NW1L,Networking 1 LAB,1,Sat,02:00 PM-05:00 PM,40324,LAB1,MS. JV FLORES,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Thu,01:00 PM-03:00 PM,40350,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY1NDY1Njk2?cjc=orfeuwgr,HYFLEX A,,,
,WST,Web System and Technologies LEC,2,Mon,07:00 PM-09:00 PM,40364,ONLINE,MR. JJ DELA CRUZ,https://classroom.google.com/c/ODcwMzEzNTcwNDA3?cjc=sqjgtugo,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Thu,07:30 AM-10:30 AM,40366,LAB1,MR. JJ DELA CRUZ,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 202,IT 202,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Wed,05:00 PM-07:00 PM,40186,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQ1NTU3NjU0?cjc=dbvomrfo,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Sat,10:30 AM-01:30 PM,40188,LAB3,MR. UMALI,,HYFLEX B,,,
,CPROG2,Computer Programming 2 LEC,2,Mon,03:00 PM-05:00 PM,40214,ONLINE,MR. TANAEL,https://classroom.google.com/c/Nzk4MzUzODUyNTI1?cjc=hroddfaq,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Wed,10:30 AM-01:30 PM,40216,LAB1,MR. TANAEL,,HYFLEX B,,,
,DBMSYS,Database Management System LEC,2,Tue,09:30 AM-11:30 AM,40242,ONLINE,MS. NARCISO,https://classroom.google.com/c/ODU1NDE5NjE5MDA3?cjc=hrjjdivv,ONLINE,,,
,DBMSYSL,Database Management System LAB,1,Sat,07:30 AM-10:30 AM,40244,LAB2,MS. NARCISO,,HYFLEX B,,,
,ENVISCI,Environmental Science,3,Fri,02:00 PM-05:00 PM,40268,5A,MS. SALAZAR,https://classroom.google.com/c/ODU1MzY1MTE0NTQ2?cjc=7ckawzcj,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,03:00 PM-05:00 PM,40284,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1MzkzMTYwMzE0?cjc=ai3pkojv,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Wed,07:30 AM-10:30 AM,40286,LAB2,MS. SUNGA,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Thu,10:30 AM-12:00 PM,40310,5E,Coach. Juvelyn Ticag,p5m3whrl,HYFLEX B,,,
,NW1,Networking 1 LEC,2,Tue,07:30 AM-09:30 AM,40326,ONLINE,MR. AM BAUTISTA,https://classroom.google.com/c/Nzk4Mzg2NzIxMzM5?cjc=h4sf65yo,ONLINE,,,
,NW1L,Networking 1 LAB,1,Thu,07:30 AM-10:30 AM,40328,LAB2,MR. AM BAUTISTA,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Wed,02:30 PM-04:30 PM,40352,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY1MTE0Mjg1?cjc=pog4mkw3,HYFLEX B,,,
,WST,Web System and Technologies LEC,2,Wed,07:00 PM-09:00 PM,40368,ONLINE,MR. DE GUZMAN,https://classroom.google.com/c/ODU1Mzk0OTQ2ODU4?cjc=tovwqikn,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Fri,06:00 PM-09:00 PM,40370,LAB3,MR. DE GUZMAN,,HYFLEX B,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 203,IT 203,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Wed,11:30 AM-01:30 PM,40190,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQ1NTQwMTI0?cjc=kovmwajb,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Sat,02:00 PM-05:00 PM,40192,LAB3,MR. UMALI,,HYFLEX B,,,
,CPROG2,Computer Programming 2 LEC,2,Sat,07:30 AM-09:30 AM,40218,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODUxMjA4MDM2?cjc=qtkyhk5x,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Wed,02:00 PM-05:00 PM,40220,LAB1,MR. TANAEL,,HYFLEX B,,,
,DBMSYS,Database Management System LEC,2,Wed,09:30 AM-11:30 AM,40246,ONLINE,MS. NARCISO,https://classroom.google.com/c/ODY5MDExNjg0MDgy?cjc=jwffbhdj,ONLINE,,,
,DBMSYSL,Database Management System LAB,1,Sat,05:00 PM-08:00 PM,40248,LAB2,MS. NARCISO,,HYFLEX B,,,
,ENVISCI,Environmental Science,3,Mon,03:00 PM-06:00 PM,40270,5A,MS. DE ASIS,https://classroom.google.com/c/ODU1Mzg3NDQ3MTI1?cjc=7rl74bea,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,07:30 AM-09:30 AM,40288,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODU1MzkzMzk1MTkz?cjc=lsihfoa2,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Wed,05:00 PM-08:00 PM,40290,LAB2,MS. SUNGA,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Mon,10:30 AM-12:00 PM,40312,5E,Coach. Mariel Prado,7eghy7sx,HYFLEX B,,,
,NW1,Networking 1 LEC,2,Wed,07:30 AM-09:30 AM,40330,ONLINE,MS. JV FLORES,https://classroom.google.com/c/ODY4ODgwMTczODI5?cjc=3sfgrt46,ONLINE,,,
,NW1L,Networking 1 LAB,1,Sat,10:30 AM-01:30 PM,40332,LAB1,MS. JV FLORES,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Mon,12:30 PM-02:30 PM,40354,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY0ODY4ODA1?cjc=kwzzhd2v,HYFLEX B,,,
,WST,Web System and Technologies LEC,2,Tue,07:00 PM-09:00 PM,40372,ONLINE,MR. DE GUZMAN,https://classroom.google.com/c/ODY4OTA4MTQxNDY5?cjc=bk42hzi5,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Mon,06:00 PM-09:00 PM,40374,LAB2,MR. DE GUZMAN,,HYFLEX B,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 204,IT 204,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Tue,07:30 AM-09:30 AM,40194,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQ1NDQ4ODU5?cjc=oredtftm,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Sat,05:00 PM-08:00 PM,40196,LAB3,MR. UMALI,,HYFLEX B,,,
,CPROG2,Computer Programming 2 LEC,2,Mon,09:30 AM-11:30 AM,40222,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODUwMTY0NDU2?cjc=pf4mlexz,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Wed,05:00 PM-08:00 PM,40224,LAB1,MR. TANAEL,,HYFLEX B,,,
,DBMSYS,Database Management System LEC,2,Wed,07:30 AM-09:30 AM,40250,ONLINE,MS. NARCISO,https://classroom.google.com/c/ODY5MDA5Njk1OTc2?cjc=p5uj2zrx,ONLINE,,,
,DBMSYSL,Database Management System LAB,1,Sat,02:00 PM-05:00 PM,40252,LAB2,MS. NARCISO,,HYFLEX B,,,
,ENVISCI,Environmental Science,3,Wed,10:30 AM-01:30 PM,40272,5A,MS. DE ASIS,https://classroom.google.com/c/ODY4ODc4NTI3MDQ0?cjc=l5u7srkn,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,09:30 AM-11:30 AM,40292,ONLINE,MS. SUNGA,https://classroom.google.com/c/ODY4OTAxMTgyNjYw?cjc=of7cmmxb,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Wed,02:00 PM-05:00 PM,40294,LAB2,MS. SUNGA,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Thu,01:30 PM-03:00 PM,40314,5E,Coach. Juvelyn Ticag,p5m3whrl,HYFLEX B,,,
,NW1,Networking 1 LEC,2,Sat,07:30 AM-09:30 AM,40334,ONLINE,MR. AM BAUTISTA,https://classroom.google.com/c/ODY5MDQ3ODUxMDc3?cjc=prwkqqst,ONLINE,,,
,NW1L,Networking 1 LAB,1,Thu,10:30 AM-01:30 PM,40336,LAB2,MR. AM BAUTISTA,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Thu,03:00 PM-05:00 PM,40356,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzUyNDM4NjYy?cjc=2otgarzz,HYFLEX B,,,
,WST,Web System and Technologies LEC,2,Tue,05:00 PM-07:00 PM,40376,ONLINE,MR. DE GUZMAN,https://classroom.google.com/c/ODU1Mzk0OTM2MjM2?cjc=jfg6qkzx,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Thu,06:00 PM-09:00 PM,40378,LAB2,MR. DE GUZMAN,,HYFLEX B,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 205,IT 205,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Tue,07:00 PM-09:00 PM,40198,ONLINE,MR. R. QUINTO JR.,https://classroom.google.com/c/ODcwMjgxMDUxMzM2?cjc=zrbnifas,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Sat,07:30 AM-10:30 AM,40200,LAB3,MR. R. QUINTO JR.,,HYFLEX A,,,
,CPROG2,Computer Programming 2 LEC,2,Mon,01:00 PM-03:00 PM,40226,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODQ4NzI2OTgz?cjc=gzyzig4q,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Tue,10:30 AM-01:30 PM,40228,LAB1,MR. TANAEL,,HYFLEX B,,,
,DBMSYS,Database Management System LEC,2,Sat,05:30 PM-07:30 PM,40254,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODcwMjU4NTgxNjAz?cjc=nxftsqmk,ONLINE,,,
,DBMSYSL,Database Management System LAB,1,Fri,07:30 AM-10:30 AM,40256,LAB3,MR. MACINAS,,HYFLEX A,,,
,ENVISCI,Environmental Science,3,Tue,02:00 PM-05:00 PM,40274,5A,MS. DE ASIS,https://classroom.google.com/c/ODY4ODc3NTM0MDA3?cjc=4ellsrwq,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,05:00 PM-07:00 PM,40296,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQ1MzQ4NjQw?cjc=tkpeoget,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Mon,07:30 AM-10:30 AM,40298,LAB1,MR. UMALI,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Sat,10:30 AM-12:00 PM,40316,5E,Coach. Juvelyn Ticag,nnwwvxhl,HYFLEX A,CHANGED TO: THURS. 9:00 - 10:30,,
,NW1,Networking 1 LEC,2,Mon,03:00 PM-05:00 PM,40338,ONLINE,MR. RODRIGO,https://classroom.google.com/c/NzgzMTA3ODYwNzE1?cjc=o6lg3l3j,ONLINE,7:00 PM - 9:00 PM,,
,NW1L,Networking 1 LAB,1,Tue,07:30 AM-10:30 AM,40340,LAB3,MR. RODRIGO,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Mon,10:30 AM-12:30 PM,40358,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY0NzYyNDMw?cjc=yxf2g5eb,HYFLEX B,,,
,WST,Web System and Technologies LEC,2,Mon,05:00 PM-07:00 PM,40380,ONLINE,MR. JJ DELA CRUZ,https://classroom.google.com/c/ODcwMzEzNzI3MTU3?cjc=qtqacao6,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Thu,10:30 AM-01:30 PM,40382,LAB1,MR. JJ DELA CRUZ,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 206,IT 206,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Wed,07:30 AM-09:30 AM,40202,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQ1NDk5NDM5?cjc=rfzcpdqd,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Fri,10:30 AM-01:30 PM,40204,LAB3,MR. UMALI,,HYFLEX A,,,
,CPROG2,Computer Programming 2 LEC,2,Mon,07:30 AM-09:30 AM,40230,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODUxNTQ1Mzcx?cjc=bf7hefyg,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Tue,02:00 PM-05:00 PM,40232,LAB1,MR. TANAEL,,HYFLEX B,,,
,DBMSYS,Database Management System LEC,2,Wed,04:00 PM-06:00 PM,40258,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODcwMjU5Mjc5Mzgx?cjc=a4vthxvu,ONLINE,SAT 3:30 PM - 5:30 PM,,
,DBMSYSL,Database Management System LAB,1,Mon,05:00 PM-08:00 PM,40260,LAB1,MR. MACINAS,,HYFLEX B,,,
,ENVISCI,Environmental Science,3,Tue,05:00 PM-08:00 PM,40276,5A,MS. DE ASIS,https://classroom.google.com/c/ODY4ODc4MjU3OTA4?cjc=4vkuoh5s,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,11:30 AM-01:30 PM,40300,ONLINE,MR. UMALI,https://classroom.google.com/c/ODU1MzQ1NTUxOTY2?cjc=qceuywqj,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Mon,02:00 PM-05:00 PM,40302,LAB1,MR. UMALI,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Sat,10:30 AM-12:00 PM,40318,5E,Coach. Jude Salonga,t5fe3yoo ,HYFLEX B,,,
,NW1,Networking 1 LEC,2,Tue,07:30 AM-09:30 AM,40342,ONLINE,MS. JV FLORES,https://classroom.google.com/c/ODY4ODc5MDY0MTU3?cjc=3eypczuq,ONLINE,,,
,NW1L,Networking 1 LAB,1,Sat,07:30 AM-10:30 AM,40344,LAB1,MS. JV FLORES,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Fri,08:00 AM-10:00 AM,40360,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY1MzA5MTI2?cjc=4zppr4ui,HYFLEX A,,,
,WST,Web System and Technologies LEC,2,Tue,09:30 AM-11:30 AM,40384,ONLINE,MR. JJ DELA CRUZ,https://classroom.google.com/c/ODcwMzA4NDQ1MDQ4?cjc=rhulomdj,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Wed,10:30 AM-01:30 PM,40386,LAB1,MR. JJ DELA CRUZ,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 207,IT 207,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,AVE,Animation and Video Editing LEC,2,Sat,11:30 AM-01:30 PM,40206,ONLINE,MR. AM BAUTISTA,https://classroom.google.com/c/ODY5MDQ3NjY4NDY3?cjc=6b6wxznr,ONLINE,,,
,AVEL,Animation and Video Editing LAB,1,Fri,10:30 AM-01:30 PM,40208,LAB3,MR. AM BAUTISTA,,HYFLEX B,,,
,CPROG2,Computer Programming 2 LEC,2,Thu,07:30 AM-09:30 AM,40234,ONLINE,MR. TANAEL,https://classroom.google.com/c/ODY4ODUxOTQzNjQz?cjc=mwdpkuwv,ONLINE,,,
,CPROG2L,Computer Programming 2 LAB,1,Tue,05:00 PM-08:00 PM,40236,LAB1,MR. TANAEL,,HYFLEX B,,,
,DBMSYS,Database Management System LEC,2,Wed,02:00 PM-04:00 PM,40262,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODU1NDQzMzEyODY3?cjc=kotou7bq,ONLINE,SAT 1:30 PM - 3:30 PM,,
,DBMSYSL,Database Management System LAB,1,Mon,02:00 PM-05:00 PM,40264,LAB2,MR. MACINAS,,HYFLEX B,,,
,ENVISCI,Environmental Science,3,Mon,06:00 PM-09:00 PM,40278,5A,MS. DE ASIS,https://classroom.google.com/c/ODY4ODc3NTczOTQ1?cjc=hteqvidq,HYFLEX B,,,
,IPT1,Integrative Programming Technologies 1 LEC,2,Tue,09:30 AM-11:30 AM,40304,ONLINE,MR. UMALI,https://classroom.google.com/c/ODY4NzE0MDI5ODU1?cjc=mtilnqtr,ONLINE,,,
,IPT1L,Integrative Programming Technologies 1 LAB,1,Mon,10:30 AM-01:30 PM,40306,LAB1,MR. UMALI,,HYFLEX B,,,
,LEAD 3,Leadership 3,1.5,Wed,10:30 AM-12:00 PM,40320,5E,Coach. Juvelyn Ticag,ytjwl6x5,HYFLEX A,,,
,NW1,Networking 1 LEC,2,Sat,09:30 AM-11:30 AM,40346,ONLINE,MR. AM BAUTISTA,https://classroom.google.com/c/Nzk4MzkxMjQxMDAy?cjc=j4j4xrhb,ONLINE,,,
,NW1L,Networking 1 LAB,1,Fri,07:30 AM-10:30 AM,40348,LAB3,MR. AM BAUTISTA,,HYFLEX B,,,
,PATHFIT3,Dance and Fitness Wellness,2,Tue,03:00 PM-05:00 PM,40362,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY0ODU2MTcy?cjc=ikh7o4ue,HYFLEX B,,,
,WST,Web System and Technologies LEC,2,Tue,07:30 AM-09:30 AM,40388,ONLINE,MR. JJ DELA CRUZ,https://classroom.google.com/c/ODcwMzEzMTc1MzQ5?cjc=4xx7wpk4,ONLINE,,,
,WSTL,Web System and Technologies LAB,1,Wed,07:30 AM-10:30 AM,40390,LAB1,MR. JJ DELA CRUZ,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,24.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 208,IT 208,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,SCHED ID,DAY,TIME,UNIT,ROOM,Name of Faculty,Google Classroom Code(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ADET,Application Development and Emerging Technologies LEC,33191,Fri,01:00 PM-03:00 PM,2,,MR. ANGAC,zqh7gyc,ONLINE,Tue 7:00 PM - 9:00 PM,,
,ADETL,Application Development and Emerging Technologies LAB,33189,Wed,10:30 AM-01:30 PM,1,LAB1,MR. ANGAC,,HYFLEX A,,,
,DBMSYS,Database Management System LEC,33193,Wed,07:00 PM-09:00 PM,2,,MS. NARCISO,gxyu3tq,ONLINE,,,
,DBMSYSL,Database Management System LAB,33195,Sat,05:00 PM-08:00 PM,1,LAB3,MS. NARCISO,,HYFLEX B,,,
,DSTRUC,Data Structures and Algorithms LEC,33185,Mon,07:30 AM-09:30 AM,2,,MS. FLORES,eojzgz3,ONLINE,,,
,DSTRUCL,Data Structures and Algorithms LAB,33187,Thu,02:00 PM-05:00 PM,1,LAB1,MS. FLORES,,HYFLEX A,,,
,LEAD 4,Leadership 4,33183,Wed,03:00 PM-04:30 PM,1.5,5E,Mariel Prado,6r3ury7,HYFLEX A,,,
,OOPR,Object Oriented Programming LEC,33199,Fri,04:00 PM-06:00 PM,2,,MR. GABRIEL,ksjbosb,ONLINE,,,
,OOPRL,Object Oriented Programming LAB,33197,Thu,06:00 PM-09:00 PM,1,LAB1,MR. GABRIEL,,HYFLEX A,,,
,PE 4,Team Sports,33179,Mon,03:00 PM-05:00 PM,2,TESDA HALL,MR. SALAZAR,kuwlh7x,HYFLEX A,,,
,SOSLIT,Sosyedad at Literatura,33181,Mon,06:00 PM-09:00 PM,3,5E,MR. DELGADO,5qqba2y,HYFLEX A,,,
,SYSARC1,System Integration and Architecture 1 LEC,33201,Fri,07:00 PM-09:00 PM,2,,MS. GARCIA,fllw64g,ONLINE,,,
,SYSARC1L,System Integration and Architecture 1 LAB,33203,Sat,02:00 PM-05:00 PM,1,5F,MS. GARCIA,,HYFLEX B,,,
,********NOTHING FOLLOWS********,,,,,20.5,,,,,,,
,,,,,,,,,,,,,
IT 301,IT 301,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Fri,05:00 PM-08:00 PM,40489,5A,MR. H. CORRALES,https://classroom.google.com/c/ODcwMzI5Mjc2MzAw?cjc=5ef4wxp4,HYFLEX B,,,
,BMC,Basic Mobile Computing LEC,2,Sat,01:30 PM-03:30 PM,40509,ONLINE,MR. R. VALENCIA,https://classroom.google.com/c/ODY5MDQ4ODE5Mzk2?cjc=pg45iaai,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Tue,02:00 PM-05:00 PM,40511,LAB3 ,MR. R. VALENCIA,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Mon,07:30 AM-09:30 AM,40435,ONLINE,MR. J. CRUZ,https://classroom.google.com/c/ODY4ODgwMTA3NTc0?cjc=vse6qwjo,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Wed,07:30 AM-10:30 AM,40439,LAB3 ,MR. J. CRUZ,,HYFLEX B,,,
,DMATH,Discrete Mathematics,3,Sat,10:30 AM-01:30 PM,40555,5B,MS. SANTIAGO,https://classroom.google.com/c/Nzk4MzU3OTYzNzQ3?cjc=dip26gvd,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Tue,09:00 AM-10:30 AM,40728,5E,Coach. Juvelyn Ticag,oqjulf6n,HYFLEX B,,,
,PRELEC2,Professional Elective 2 LEC,2,Fri,11:30 AM-01:30 PM,40601,ONLINE,MR. CACHO,https://classroom.google.com/c/Nzk4Mzk1MTg5NDI3?cjc=qj3qwv3c,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Tue,10:30 AM-01:30 PM,40603,LAB2,MR. CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Mon,09:30 AM-11:30 AM,40569,ONLINE,MR. A BAUTISTA,https://meet.google.com/hag-kgvd-cmb,ONLINE,,,
,PTL,Platform Technologies LAB,1,Fri,02:00 PM-05:00 PM,40571,LAB1,MR. A BAUTISTA,,HYFLEX B,,,
,SIA2,System Integration and Architecture 2 LEC,2,Tue,07:00 PM-09:00 PM,40661,ONLINE,MS. GARCIA,https://classroom.google.com/c/ODY4ODgyMDg2OTYw?cjc=stali6m7,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,07:30 AM-10:30 AM,40666,LAB4,MS. GARCIA,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 302,IT 302,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Wed,07:30 AM-10:30 AM,40491,5A,MS. ACOSTA,https://classroom.google.com/c/ODY5MDExNjU3NzEy?cjc=lw4wxf2t,HYFLEX B,,,
,BMC,Basic Mobile Computing LEC,2,Sat,03:30 PM-05:30 PM,40513,ONLINE,MR. R. VALENCIA,https://classroom.google.com/c/ODY5MDQ4MzA0MzA0?cjc=bra35f2o,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Tue,10:30 AM-01:30 PM,40515,LAB3 ,MR. R. VALENCIA,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Mon,09:30 AM-11:30 AM,40441,ONLINE,MR. J. CRUZ,https://classroom.google.com/c/ODY4ODgwOTM4MjIy?cjc=25s6xmp4,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Wed,10:30 AM-01:30 PM,40445,LAB3 ,MR. J. CRUZ,,HYFLEX B,,,
,DMATH,Discrete Mathematics,3,Sat,07:30 AM-10:30 AM,40557,5B,MS. SANTIAGO,https://classroom.google.com/c/ODU1Mzg2OTIxNTMw?cjc=jztrbrkj,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Mon,12:00 PM-01:30 PM,40730,5E,Coach. Jude Salonga,x3rk4rns ,HYFLEX A,,,
,PRELEC2,Professional Elective 2 LEC,2,Wed,07:00 PM-09:00 PM,40613,ONLINE,MR. CACHO,https://classroom.google.com/c/ODcwMjYyNTE4MTQw?cjc=ojkwbv43,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Tue,07:30 AM-10:30 AM,40618,LAB2,MR.CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Wed,05:00 PM-07:00 PM,40573,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODU1NDM3NTE2NjA3?cjc=5fr3pzei,ONLINE,MON 7:30 AM - 9:30 AM,,
